,index,Country Name,Code,2015,2016,2017,2018,2019,Average
82,98,Kuwait,KWT,2.2,2.16,2.198,2.158,2.156,2.1744
83,99,Lao PDR,LAO,2.521,2.896,3.27,3.266,3.273,3.0452
84,100,Lebanon,LBN,9.263,9.723,10.211,10.728,11.3,10.245
85,103,St. Lucia,LCA,20.556,19.659,18.86,19.08,15.32,18.695
86,104,Sri Lanka,LKA,4.52,4.24,4.05,4.32,4.67,4.36
87,105,Lesotho,LSO,16.852,16.825,16.985,16.918,16.88,16.892
88,106,Lithuania,LTU,9.12,7.86,7.07,6.15,6.26,7.292
89,107,Luxembourg,LUX,6.67,6.29,5.52,5.59,5.59,5.932
90,108,Latvia,LVA,9.87,9.64,8.72,7.41,6.31,8.39
91,109,Morocco,MAR,9.46,9.3,9.225,9.239,9.242,9.2932
92,111,Moldova,MDA,4.7,4.02,3.89,2.91,5.1,4.124
93,112,Madagascar,MDG,1.79,1.8,1.815,1.833,1.841,1.8158
94,113,Maldives,MDV,6.618,5.77,5.371,4.971,4.56,5.458
95,114,Mexico,MEX,4.31,3.86,3.42,3.27,3.48,3.668
96,116,North Macedonia,MKD,26.43,24.3,22.81,21.2,17.39,22.426
97,117,Mali,MLI,1.361,1.37,1.494,1.62,1.619,1.4928
98,118,Malta,MLT,5.38,4.69,4.0,3.66,3.62,4.27
99,119,Myanmar,MMR,0.77,0.994,1.36,0.77,0.41,0.8608
100,120,Montenegro,MNE,17.55,17.73,16.08,15.19,15.13,16.336
101,121,Mongolia,MNG,4.86,7.24,6.36,5.38,5.443,5.8566
102,123,Mozambique,MOZ,3.43,3.454,3.453,3.455,3.465,3.4514
103,124,Mauritania,MRT,10.152,10.308,10.34,10.391,10.402,10.3186
104,125,Mauritius,MUS,7.41,6.81,6.75,6.43,6.33,6.746
105,126,Malawi,MWI,4.987,4.982,4.96,4.949,4.932,4.962
106,127,Malaysia,MYS,3.1,3.44,3.41,3.3,3.26,3.302
107,128,Namibia,NAM,20.895,23.35,21.656,19.88,20.002,21.1566
108,129,Niger,NER,0.532,0.534,0.542,0.542,0.552,0.5404
109,130,Nigeria,NGA,4.221,4.509,4.729,4.963,5.206,4.7256
110,131,Nicaragua,NIC,4.7,3.9,3.3,5.2,5.202,4.4604
111,132,Netherlands,NLD,6.87,6.01,4.84,3.83,3.38,4.986
112,133,Norway,NOR,4.3,4.68,4.16,3.8,3.69,4.126
113,134,Nepal,NPL,10.512,10.403,10.66,10.623,10.599,10.5594
114,136,New Zealand,NZL,5.41,5.15,4.74,4.33,4.11,4.748
115,137,Oman,OMN,3.384,3.27,2.573,1.8,1.85,2.5754
116,138,Pakistan,PAK,3.57,3.756,3.913,4.08,4.83,4.0298
117,139,Panama,PAN,4.368,4.759,5.392,5.218,6.33,5.2134
118,140,Peru,PER,3.27,3.74,3.69,3.49,3.38,3.514
119,141,Philippines,PHL,3.07,2.7,2.55,2.34,2.24,2.58
120,143,Papua New Guinea,PNG,2.449,2.455,2.478,2.538,2.432,2.4704
121,144,Poland,POL,7.5,6.16,4.89,3.85,3.28,5.136
122,147,Portugal,PRT,12.45,11.07,8.87,6.99,6.46,9.168
123,148,Paraguay,PRY,4.56,5.25,4.61,6.22,6.59,5.446
124,149,West Bank and Gaza,PSE,23.0,23.94,25.68,26.26,25.34,24.844
125,150,Qatar,QAT,0.17,0.15,0.14,0.11,0.1,0.134
126,151,Romania,ROU,6.81,5.9,4.93,4.19,3.91,5.148
127,152,Russian Federation,RUS,5.57,5.56,5.21,4.85,4.5,5.138
128,153,Rwanda,RWA,11.828,11.86,11.88,12.1,12.43,12.0196
129,154,Saudi Arabia,SAU,5.6,5.6,5.89,6.03,5.64,5.752
130,155,Sudan,SDN,17.444,17.441,17.501,17.572,17.586,17.5088
131,156,Senegal,SEN,6.76,4.46,4.08,3.57,2.86,4.346
132,157,Singapore,SGP,3.79,4.08,4.2,3.641,3.1,3.7622
133,158,Solomon Islands,SLB,0.733,0.691,0.698,0.714,0.744,0.716
134,159,Sierra Leone,SLE,4.437,3.927,3.561,3.19,3.193,3.6616
135,160,El Salvador,SLV,4.0,4.42,4.39,4.01,4.17,4.198
136,163,Serbia,SRB,17.66,15.26,13.48,12.73,10.39,13.904
137,165,Sao Tome and Principe,STP,13.78,13.839,13.911,13.998,14.078,13.9212
138,167,Slovak Republic,SVK,11.48,9.67,8.13,6.54,5.75,8.314
139,168,Slovenia,SVN,8.96,8.0,6.56,5.11,4.45,6.616
140,169,Sweden,SWE,7.43,6.99,6.72,6.36,6.83,6.866
141,170,Eswatini,SWZ,23.317,22.72,22.731,22.756,22.782,22.8612
142,173,Chad,TCD,1.072,1.118,1.127,1.13,1.12,1.1134
143,174,Togo,TGO,2.2,2.965,3.74,3.723,3.707,3.267
144,175,Thailand,THA,0.6,0.69,0.83,0.77,0.72,0.722
145,178,Timor-Leste,TLS,4.451,4.66,4.749,4.718,4.452,4.606
146,179,Tonga,TON,1.941,1.904,2.074,2.25,2.244,2.0826
147,180,Trinidad and Tobago,TTO,2.43,3.21,3.309,3.405,3.52,3.1748
148,181,Tunisia,TUN,15.16,15.56,15.33,15.46,15.13,15.328
149,182,Turkiye,TUR,10.24,10.84,10.82,10.89,13.67,11.292
150,184,Tanzania,TZA,2.144,2.151,2.168,2.203,2.214,2.176
151,185,Uganda,UGA,2.749,3.183,3.64,3.571,3.554,3.3394
152,186,Ukraine,UKR,9.14,9.35,9.5,8.8,8.19,8.996
153,187,Uruguay,URY,7.49,7.84,7.89,8.34,8.73,8.058
154,188,United States,USA,5.28,4.87,4.36,3.9,3.67,4.416
155,189,Uzbekistan,UZB,5.15,5.16,5.83,5.856,5.861,5.5714
156,190,St. Vincent and the Grenadines,VCT,18.969,18.978,19.028,19.02,19.09,19.017
157,193,Vietnam,VNM,1.85,1.85,1.87,1.16,1.68,1.682
158,194,Vanuatu,VUT,1.855,1.749,1.71,1.784,1.757,1.771
159,195,Samoa,WSM,8.763,8.819,9.4,9.472,9.147,9.1202
160,197,South Africa,ZAF,22.87,24.02,23.99,24.22,25.54,24.128
161,198,Zambia,ZMB,8.28,8.393,8.52,5.03,5.54,7.1526
162,199,Zimbabwe,ZWE,5.282,5.796,6.279,6.784,7.37,6.3022
