,index,Country Name,Country Code,2015,2016,2017,2018,2019,Average
57,67,Ghana,GHA,49406014245.0,56164933479.0,60405920071.0,67298913752.0,68337974419.0,60322751193
58,68,Greece,GRC,196000000000.0,193000000000.0,200000000000.0,212000000000.0,205000000000.0,2.01E+11
59,72,Guatemala,GTM,62186064719.0,66053402745.0,71653756504.0,73328369926.0,77172313916.0,70078781562
60,73,Guinea,GIN,8794202395.0,8595955601.0,10324668271.0,11857030366.0,13442861497.0,10602943626
61,74,Guinea-Bissau,GNB,1048229633.0,1179004911.0,1350177012.0,1504630234.0,1439638411.0,1304336040
62,75,Guyana,GUY,4279840194.0,4482697337.0,4748174334.0,4787637006.0,5173760192.0,4694421813
63,76,Haiti,HTI,14849629408.0,14069277532.0,15093357143.0,16403864521.0,15016090930.0,15086443907
64,77,Honduras,HND,20979791685.0,21717604581.0,23136248046.0,24067750466.0,25089937109.0,22998266377
65,78,Hungary,HUN,125000000000.0,129000000000.0,143000000000.0,161000000000.0,164000000000.0,1.44E+11
66,79,Iceland,ISL,17517210519.0,20793168031.0,24728285177.0,26260850582.0,24663643102.0,22792631482
67,80,India,IND,2100000000000.0,2290000000000.0,2650000000000.0,2700000000000.0,2840000000000.0,2.52E+12
68,81,Indonesia,IDN,861000000000.0,932000000000.0,1020000000000.0,1040000000000.0,1120000000000.0,9.94E+11
69,82,"Iran, Islamic Rep.",IRN,408000000000.0,458000000000.0,487000000000.0,328000000000.0,284000000000.0,3.93E+11
70,83,Iraq,IRQ,167000000000.0,167000000000.0,187000000000.0,227000000000.0,234000000000.0,1.96E+11
71,84,Ireland,IRL,292000000000.0,299000000000.0,336000000000.0,386000000000.0,399000000000.0,3.42E+11
72,85,Israel,ISR,303000000000.0,322000000000.0,358000000000.0,377000000000.0,402000000000.0,3.53E+11
73,86,Italy,ITA,1840000000000.0,1880000000000.0,1960000000000.0,2090000000000.0,2010000000000.0,1.96E+12
74,87,Jamaica,JAM,14188938781.0,14077105503.0,14808984881.0,15730791526.0,15830766372.0,14927317413
75,88,Japan,JPN,4440000000000.0,5000000000000.0,4930000000000.0,5040000000000.0,5120000000000.0,4.91E+12
76,89,Jordan,JOR,38587017887.0,39892551127.0,41608435915.0,43370860704.0,44503005775.0,41592374282
77,90,Kazakhstan,KAZ,184000000000.0,137000000000.0,167000000000.0,179000000000.0,182000000000.0,1.70E+11
78,91,Kenya,KEN,70120446664.0,74815143796.0,82036511259.0,92202979941.0,100000000000.0,83910616332
79,94,"Korea, Rep.",KOR,1470000000000.0,1500000000000.0,1620000000000.0,1720000000000.0,1650000000000.0,1.59E+12
80,95,Kuwait,KWT,115000000000.0,109000000000.0,121000000000.0,138000000000.0,136000000000.0,1.24E+11
81,96,Kyrgyz Republic,KGZ,6678177483.0,6813095396.0,7702938395.0,8271106196.0,8871019823.0,7667267459
82,97,Lao PDR,LAO,14426381187.0,15912495369.0,17071162084.0,18141651381.0,18740559554.0,16858449915
83,98,Latvia,LVA,27263090547.0,28083597512.0,30483806018.0,34429023435.0,34343961073.0,30920695717
84,99,Lebanon,LBN,49929337837.0,51147308774.0,53027680686.0,54901519156.0,51605959131.0,52122361117
85,100,Lesotho,LSO,2359754088.0,2114426469.0,2306741599.0,2556247156.0,2436029588.0,2354639780
86,103,Lithuania,LTU,41435533340.0,43047309306.0,47758736932.0,53751411409.0,54760617013.0,48150721600
87,104,Luxembourg,LUX,60071584216.0,62216885436.0,65712180343.0,71000359760.0,69825641851.0,65765330321
88,105,Madagascar,MDG,11323020700.0,11848613860.0,13176313594.0,13760033283.0,14104664678.0,12842529223
89,106,Malawi,MWI,9219474373.0,7909868618.0,8943543677.0,9880675786.0,11025371147.0,9395786720
90,107,Malaysia,MYS,301000000000.0,301000000000.0,319000000000.0,359000000000.0,365000000000.0,3.29E+11
