,index,Country Name,Code,2015,2016,2017,2018,2019,Average
65,77,Haiti,HTI,4.60343,4.60835,4.6114783,4.6204476,4.635318,4.61580478
66,78,Honduras,HND,4.0714254,4.078126,4.081632,4.0855455,4.090965,4.08153878
67,79,Hungary,HUN,3.4221237,3.4109962,3.4020705,3.402081,3.4067228,3.40879884
68,80,Iceland,ISL,5.1212854,5.114162,5.105698,5.103398,5.1037683,5.10966234
69,81,India,IND,3.039895,3.0479543,3.0522227,3.026323,2.9674358,3.02676616
70,82,Indonesia,IDN,3.5159678,3.5267842,3.5356228,3.5412912,3.5480037,3.53353394
71,83,Iran,IRN,7.478174,7.3556523,7.225255,7.229704,7.26808,7.31137306
72,84,Iraq,IRQ,5.372489,5.349725,5.32611,5.3278074,5.33799,5.34282428
73,85,Ireland,IRL,7.194756,7.1830854,7.164041,7.079152,6.9078193,7.10577074
74,86,Israel,ISR,3.7767668,3.757394,3.7400212,3.737234,3.7392616,3.75013552
75,87,Italy,ITA,5.5766687,5.5657377,5.552005,5.553463,5.5624604,5.56206696
76,88,Jamaica,JAM,4.066767,4.058737,4.049464,4.049934,4.0547247,4.05592534
77,89,Japan,JPN,2.3362586,2.327684,2.3227928,2.3224354,2.3241255,2.32665926
78,90,Jordan,JOR,4.9204183,4.914968,4.9073405,4.9140077,4.933855,4.9181179
79,91,Kazakhstan,KAZ,2.1137054,2.1107426,2.1078627,2.1097374,2.1156304,2.1115357
80,92,Kenya,KEN,3.408533,3.4173293,3.424974,3.4239264,3.41804,3.41856054
81,94,Kuwait,KWT,4.5273895,4.5364184,4.541724,4.564112,4.599968,4.55392238
82,95,Kyrgyzstan,KGZ,2.0603633,2.0580704,2.0557578,2.0567787,2.0599196,2.05817796
83,96,Laos,LAO,4.5019193,4.513994,4.5229564,4.5403633,4.5706754,4.52998168
84,97,Latvia,LVA,3.7754884,3.7666385,3.7563806,3.7515545,3.748034,3.7596192
85,98,Lebanon,LBN,6.525099,6.5156517,6.4989395,6.352847,6.0510345,6.38871434
86,99,Lesotho,LSO,3.5783262,3.5913162,3.5993671,3.5866354,3.5554914,3.58222726
87,102,Lithuania,LTU,4.3036847,4.283735,4.2624903,4.255839,4.2541876,4.27198732
88,103,Luxembourg,LUX,5.3122964,5.2900987,5.268558,5.268371,5.2770224,5.2832693
89,104,Madagascar,MDG,3.9392884,3.960613,3.9780207,3.9762337,3.9632103,3.96347322
90,105,Malawi,MWI,3.8227985,3.839767,3.8535287,3.8533912,3.8456526,3.8430276
91,106,Malaysia,MYS,4.5922904,4.6002536,4.606148,4.604654,4.5992527,4.60051974
92,107,Maldives,MDV,3.607061,3.5991414,3.5905697,3.5832188,3.5796337,3.59192492
