,index,Country Name,Country Code,2015,2016,2017,2018,2019,Average
63,77,Croatia,HRV,12071.09096,12550.70886,13562.14405,15003.14068,15086.21174,13654.65926
64,78,Haiti,HTI,1405.714786,1313.186095,1389.358623,1489.578406,1345.475055,1388.662593
65,79,Hungary,HUN,12717.0386,13104.69955,14621.2396,16425.20503,16786.21364,14730.87928
66,80,Indonesia,IDN,3322.581679,3558.818852,3839.785075,3902.661675,4151.227555,3755.014967
67,81,India,IND,1590.174322,1714.279541,1957.969814,1974.37773,2050.16379,1857.393039
68,82,Ireland,IRL,62053.98444,62895.91112,69970.94891,79250.38785,80927.07467,71019.6614
69,83,"Iran, Islamic Rep.",IRN,4990.936795,5497.243233,5758.590728,3829.829855,3276.753265,4670.670775
70,84,Iraq,IRQ,4416.942923,4305.202702,4725.193573,5601.467061,5621.181695,4933.997591
71,85,Iceland,ISL,52951.68151,61987.92636,72010.14903,74452.18907,68403.14481,65961.01816
72,86,Israel,ISR,36206.52222,37690.47395,41114.78171,42406.84543,44452.23256,40374.17117
73,87,Italy,ITA,30242.38614,30960.73151,32406.72032,34622.16967,33673.75096,32381.15172
74,88,Jamaica,JAM,5077.551636,5022.703328,5273.148923,5594.493107,5626.170403,5318.813479
75,89,Jordan,JOR,4064.25301,4003.404746,4073.116403,4146.407311,4159.671408,4089.370576
76,90,Japan,JPN,34960.63938,39375.47316,38834.05293,39751.1331,40415.95676,38667.45107
77,91,Kazakhstan,KAZ,10510.77031,7714.841844,9247.580687,9812.625422,9812.595536,9419.68276
78,92,Kenya,KEN,1496.653568,1562.076611,1675.98843,1845.783413,1970.080063,1710.116417
79,93,Kyrgyz Republic,KGZ,1121.082691,1120.667061,1242.770223,1308.139779,1374.031136,1233.338178
80,94,Cambodia,KHM,1170.742816,1281.105971,1400.899265,1533.315985,1671.3854,1411.489887
81,97,"Korea, Rep.",KOR,28732.23108,29288.87044,31616.8434,33436.92306,31902.4169,30995.45698
82,98,Kuwait,KWT,29315.19607,27026.6482,29258.28964,32012.1352,30666.22066,29655.69795
83,99,Lao PDR,LAO,2125.459057,2309.049076,2439.463355,2553.361866,2598.505523,2405.167775
84,100,Lebanon,LBN,7802.751368,8172.299476,8679.897422,9225.845155,8925.42186,8561.243056
85,103,St. Lucia,LCA,10290.35048,10574.3026,11270.4329,11563.87207,11726.67715,11085.12704
86,104,Sri Lanka,LKA,3990.353123,4107.829762,4388.201908,4360.584742,4082.694048,4185.932717
87,105,Lesotho,LSO,1113.868632,986.2652568,1062.712399,1162.978792,1094.499438,1084.064904
88,106,Lithuania,LTU,14263.96458,15008.31324,16885.40739,19186.35959,19598.40087,16988.48913
89,107,Luxembourg,LUX,105462.0126,106899.2935,110193.2138,116786.5117,112621.8213,110392.5706
90,108,Latvia,LVA,13786.4568,14331.75159,15695.11515,17865.03109,17945.22222,15924.71537
91,109,Morocco,MAR,3139.228271,3132.952148,3288.502686,3492.672363,3498.58252,3310.387598
92,111,Moldova,MDA,2749.913038,2847.635069,3454.95469,4156.9575,4404.950422,3522.882144
93,112,Madagascar,MDG,455.6380345,464.6161584,503.4980587,512.5439915,512.2796656,489.7151817
94,113,Maldives,MDV,9434.31191,9640.319191,10063.00371,10823.61048,11118.52623,10215.9543
95,114,Mexico,MEX,9753.400562,8875.082069,9434.378179,9857.007487,10145.15263,9613.004185
96,116,North Macedonia,MKD,4861.55616,5149.586764,5450.497035,6108.739131,6070.388054,5528.153429
97,117,Mali,MLI,723.504205,750.051809,795.6828021,856.3565959,840.1757461,793.1542316
98,118,Malta,MLT,24921.6779,25623.85563,28823.34576,31566.35811,31506.55684,28488.35885
99,119,Myanmar,MMR,1224.562368,1161.861818,1175.202555,1274.915663,1295.201487,1226.348778
100,120,Montenegro,MNE,6517.189614,7033.438006,7803.362579,8850.378404,8909.653336,7822.804388
101,121,Mongolia,MNG,3919.351214,3690.756778,3708.248221,4165.022821,4394.94715,3975.665237
102,123,Mozambique,MOZ,594.2269178,430.9929451,462.6999701,504.5358261,508.1634038,500.1238126
103,124,Mauritania,MRT,1562.726853,1579.199301,1634.642845,1749.954236,1839.962778,1673.297203
104,125,Mauritius,MUS,9507.871337,9965.725217,10841.68467,11643.4606,11403.25289,10672.39894
105,126,Malawi,MWI,544.2768724,454.4432661,500.1655472,537.9322041,584.3628673,524.2361514
106,127,Malaysia,MYS,9699.584909,9555.647335,9979.704757,11073.97859,11132.10345,10288.20381
107,128,Namibia,NAM,4965.672829,4614.89218,5453.570623,5687.381186,5126.176143,5169.538592
108,129,Niger,NER,481.1113011,497.0361208,514.5432689,567.3308492,550.9635431,522.1970166
109,130,Nigeria,NGA,2679.554765,2144.779938,1941.879485,2125.834282,2334.023543,2245.214403
110,131,Nicaragua,NIC,2025.327261,2079.445529,2127.277659,1981.863168,1905.638313,2023.910386
111,132,Netherlands,NLD,45193.40322,46039.10593,48675.22234,53044.53244,52476.27325,49085.70744
112,133,Norway,NOR,74809.9658,70867.361,76131.8384,82792.84271,76430.58895,76206.51937
113,134,Nepal,NPL,882.3076635,880.2248937,1027.965474,1161.53435,1185.682318,1027.54294
