,index,Country Name,Code,2015,2016,2017,2018,2019,Average
63,75,Guinea-Bissau,GNB,0.08581912,0.086852804,0.08737306,0.08784916,0.08834084,0.087246997
64,76,Guyana,GUY,0.17927523,0.18182851,0.18465064,0.18596709,0.18756385,0.183857064
65,77,Haiti,HTI,0.119706765,0.12031896,0.12105196,0.121481515,0.122097835,0.120931407
66,78,Honduras,HND,0.16134736,0.16356038,0.16528867,0.165937,0.167219,0.164670482
67,79,Hungary,HUN,0.1756871,0.1772673,0.17886764,0.1810569,0.1835278,0.179281348
68,80,Iceland,ISL,0.4386102,0.44375566,0.44927993,0.45187095,0.4541073,0.447524808
69,81,India,IND,0.119307235,0.122499324,0.12542169,0.12748422,0.12927622,0.124797738
70,82,Indonesia,IDN,0.10385733,0.106174655,0.108205184,0.109677225,0.11084955,0.107752789
71,83,Iran,IRN,0.24717282,0.24976061,0.25217977,0.25325984,0.2540833,0.251291268
72,84,Iraq,IRQ,0.2003076,0.20368207,0.20604564,0.20743,0.20871635,0.205236332
73,85,Ireland,IRL,0.42157215,0.43225074,0.44323313,0.45007327,0.45577714,0.440581286
74,86,Israel,ISR,0.3747271,0.37869105,0.38204062,0.3846552,0.38732913,0.38148862
75,87,Italy,ITA,0.5356096,0.5410652,0.54644495,0.54637676,0.54448926,0.542797154
76,88,Jamaica,JAM,0.19116345,0.19235134,0.19326413,0.19330949,0.19291341,0.192600364
77,89,Japan,JPN,0.38718462,0.38624644,0.38602966,0.38700762,0.38879964,0.387053596
78,90,Jordan,JOR,0.19279233,0.19304036,0.19334869,0.19315206,0.19342121,0.19315093
79,91,Kazakhstan,KAZ,0.15774341,0.15926217,0.16055767,0.16161866,0.16284963,0.160406308
80,92,Kenya,KEN,0.10184317,0.10367717,0.10533412,0.10624562,0.106974006,0.104814817
81,94,Kuwait,KWT,0.35114056,0.3501386,0.34882754,0.34730032,0.34584403,0.34865021
82,95,Kyrgyzstan,KGZ,0.090874285,0.09142109,0.092067234,0.092586555,0.09326466,0.092042765
83,96,Laos,LAO,0.091369405,0.09345152,0.09534666,0.0972688,0.09885296,0.095257869
84,97,Latvia,LVA,0.15891068,0.1608688,0.16283536,0.16410944,0.1660531,0.162555476
85,98,Lebanon,LBN,0.22409801,0.22528416,0.22575013,0.22540215,0.224312,0.22496929
86,99,Lesotho,LSO,0.10439197,0.10585134,0.107039794,0.107584424,0.10791386,0.106556278
87,102,Lithuania,LTU,0.16478589,0.16749556,0.16993928,0.17151488,0.17335068,0.169417258
88,103,Luxembourg,LUX,0.5586582,0.56215495,0.5653662,0.566971,0.5688226,0.56439459
89,104,Madagascar,MDG,0.0846299,0.08539277,0.08567255,0.086278476,0.086541794,0.085703098
90,105,Malawi,MWI,0.07861743,0.0787787,0.07898204,0.07931635,0.0793044,0.078999784
91,106,Malaysia,MYS,0.14274836,0.14482899,0.14701252,0.14841418,0.15047508,0.146695826
92,107,Maldives,MDV,0.117580794,0.11916175,0.12028283,0.12107922,0.1219199,0.120004899
93,108,Mali,MLI,0.09029133,0.091389395,0.092217825,0.0925209,0.092865065,0.091856903
94,109,Malta,MLT,0.3973738,0.4044034,0.41207325,0.41727132,0.42228425,0.410681204
95,111,Mauritania,MRT,0.1114123,0.11254433,0.11336601,0.11363023,0.1137088,0.112932334
96,112,Mauritius,MUS,0.13203654,0.13465723,0.13683778,0.13831872,0.13929899,0.136229852
97,113,Mexico,MEX,0.23766066,0.23892775,0.24041297,0.24104139,0.24183847,0.239976248
98,114,Micronesia (country),FSM,0.078879476,0.07953688,0.079851426,0.079781905,0.08010233,0.079630403
99,115,Moldova,MDA,0.10481612,0.105834305,0.10678463,0.10751453,0.10844338,0.106678593
100,117,Mongolia,MNG,0.12602133,0.12864566,0.13051923,0.13193253,0.13303629,0.130031008
101,118,Montenegro,MNE,0.14861059,0.15037112,0.15203272,0.15306245,0.15447724,0.151710824
102,119,Morocco,MAR,0.18019903,0.1822642,0.1845328,0.18587382,0.18633235,0.18384044
103,120,Mozambique,MOZ,0.08073025,0.081799045,0.08235015,0.083295986,0.0839527,0.082425626
104,121,Myanmar,MMR,0.08787822,0.09025696,0.09208394,0.093856394,0.09567405,0.091949913
105,122,Namibia,NAM,0.15585217,0.15774639,0.15877675,0.15964684,0.16063276,0.158530982
106,124,Nepal,NPL,0.098239794,0.10036619,0.102126755,0.10295729,0.10316985,0.101371976
107,125,Netherlands,NLD,0.3769006,0.37853342,0.37979293,0.38094664,0.38367063,0.379968844
108,126,New Zealand,NZL,0.584627,0.5929689,0.6009582,0.6026895,0.6033723,0.59692318
109,127,Nicaragua,NIC,0.15748787,0.1601612,0.16258672,0.1640711,0.16589764,0.162040906
110,128,Niger,NER,0.0760847,0.07715284,0.07809827,0.078407474,0.078765206,0.077701698
111,129,Nigeria,NGA,0.12606324,0.12795314,0.12924859,0.12949328,0.12942946,0.128437542
112,130,North Korea,PRK,0.06513919,0.06551895,0.06579945,0.0658978,0.06607657,0.065686392
113,131,North Macedonia,MKD,0.13722135,0.13922976,0.14076634,0.14160863,0.14246428,0.140258072
114,133,Norway,NOR,0.45619804,0.46358582,0.47091836,0.47322372,0.47473136,0.46773146
115,134,Oman,OMN,0.26906314,0.26740268,0.2666335,0.26674458,0.26507118,0.266983016
116,135,Pakistan,PAK,0.11509705,0.117202,0.11930539,0.12043045,0.12147353,0.118701684
117,137,Palestine,PSE,0.15452918,0.15647206,0.15753616,0.15803477,0.15811732,0.156937898
118,138,Panama,PAN,0.2695206,0.27253687,0.27548108,0.27858958,0.28251824,0.275729274
119,139,Papua New Guinea,PNG,0.078247815,0.07937629,0.080411285,0.08075359,0.08146171,0.080050138
120,140,Paraguay,PRY,0.21297961,0.21302211,0.21251613,0.21531403,0.21759573,0.214285522
121,141,Peru,PER,0.28687468,0.28859085,0.2909216,0.2929688,0.29595372,0.29106193
122,142,Philippines,PHL,0.09801375,0.09989991,0.10179992,0.1032403,0.10456553,0.101503882
123,143,Poland,POL,0.17776369,0.18004344,0.18200578,0.18387282,0.18609495,0.181956136
124,144,Portugal,PRT,0.41112322,0.4146451,0.41807154,0.42035228,0.42184258,0.417206944
125,146,Qatar,QAT,0.34411168,0.3453544,0.34634855,0.34632927,0.3464426,0.3457173
126,147,Romania,ROU,0.1526677,0.15514188,0.15743588,0.15966469,0.16204906,0.157391842
127,148,Russia,RUS,0.15740685,0.15927324,0.16057414,0.16121347,0.16156821,0.160007182
128,149,Rwanda,RWA,0.08905336,0.09075553,0.091615774,0.09293908,0.09405708,0.091684165
129,150,Saint Kitts and Nevis,KNA,0.281093,0.2829227,0.28511637,0.2863818,0.28756824,0.284616422
130,151,Saint Lucia,LCA,0.21414255,0.21620734,0.2180769,0.21873455,0.21924117,0.217280502
131,152,Saint Vincent and the Grenadines,VCT,0.20925242,0.210672,0.21200176,0.21254711,0.21304461,0.21150358
132,153,Samoa,WSM,0.09194078,0.0923448,0.09329958,0.09385673,0.09448495,0.093185368
133,155,Sao Tome and Principe,STP,0.10690937,0.108161084,0.10916981,0.11027925,0.11107093,0.109118089
134,156,Saudi Arabia,SAU,0.2728482,0.27610958,0.27746344,0.27877355,0.27899438,0.27683783
135,157,Senegal,SEN,0.09976134,0.10105647,0.101933196,0.1026303,0.10354699,0.101785659
136,158,Serbia,SRB,0.13928807,0.14055094,0.14121008,0.1423078,0.14359924,0.141391226
137,160,Sierra Leone,SLE,0.08594697,0.08668121,0.08682065,0.08681842,0.08656057,0.086565564
138,161,Singapore,SGP,0.4304964,0.43828207,0.44648263,0.45098594,0.453674,0.443984208
139,162,Slovakia,SVK,0.17460677,0.17710134,0.17899124,0.1810499,0.18270175,0.1788902
140,163,Slovenia,SVN,0.17944098,0.18036084,0.18203017,0.18319431,0.1849328,0.18199182
141,164,Solomon Islands,SLB,0.066945925,0.0678326,0.06884851,0.069027044,0.0693035,0.068391516
142,166,South Africa,ZAF,0.1632405,0.16450869,0.16544971,0.165294,0.16455814,0.164610208
143,167,South Korea,KOR,0.33653268,0.34217376,0.34597564,0.34932303,0.35135385,0.345071792
144,169,Spain,ESP,0.57605064,0.58009267,0.58482724,0.5868674,0.59025174,0.583617938
145,170,Sri Lanka,LKA,0.1134213,0.11520672,0.117383815,0.11867576,0.120000996,0.116937718
146,171,Sudan,SDN,0.14216202,0.14345671,0.144264,0.14499553,0.14551556,0.144078764
147,173,Sweden,SWE,0.49534827,0.50228727,0.5089513,0.511898,0.51417124,0.506531216
148,174,Switzerland,CHE,0.49183723,0.4904624,0.4894723,0.48961532,0.4910716,0.49049177
149,175,Syria,SYR,0.16542745,0.16390045,0.16194311,0.16002867,0.15828523,0.161916982
150,177,Tanzania,TZA,0.10053464,0.10169528,0.10308309,0.104231946,0.10528517,0.102966025
151,178,Thailand,THA,0.12704796,0.12859704,0.13000895,0.1308782,0.13236374,0.129779178
152,179,Togo,TGO,0.08660077,0.0878191,0.08892801,0.08941261,0.08961096,0.08847429
153,180,Tonga,TON,0.09078071,0.091491014,0.09236149,0.09319261,0.09377603,0.092320371
154,181,Trinidad and Tobago,TTO,0.28192934,0.28299674,0.28389093,0.2832332,0.28171644,0.28275333
155,182,Tunisia,TUN,0.20094365,0.20297831,0.20400512,0.20450896,0.20487007,0.203461222
156,183,Turkey,TUR,0.2785622,0.2836098,0.28765902,0.2904809,0.2917118,0.286404744
157,186,Uganda,UGA,0.09254134,0.09353817,0.09447924,0.09483852,0.09564634,0.094208722
158,187,Ukraine,UKR,0.11927555,0.12092872,0.12112826,0.12156914,0.121123455,0.120805025
159,188,United Arab Emirates,ARE,0.2881755,0.29155952,0.29524028,0.2975765,0.30040544,0.294591448
160,189,United Kingdom,GBR,0.41451535,0.41880447,0.42277446,0.4241379,0.4250394,0.421054316
161,190,United States,USA,0.41873553,0.42221028,0.4262121,0.42610255,0.42435044,0.42352218
162,191,United States Virgin Islands,VIR,0.35752568,0.35462,0.35189253,0.34934226,0.34684423,0.35204494
163,192,Uruguay,URY,0.33929032,0.3440242,0.34768173,0.35085896,0.3535729,0.347085622
164,193,Uzbekistan,UZB,0.10917571,0.11108457,0.11282132,0.114300735,0.11560703,0.112597873
165,194,Vanuatu,VUT,0.07663147,0.07705897,0.07749497,0.077425666,0.077522516,0.077226718
166,195,Venezuela,VEN,0.22641376,0.22487962,0.22301015,0.21922962,0.21330635,0.2213679
167,196,Vietnam,VNM,0.088313095,0.09016002,0.09173922,0.09341045,0.09474524,0.091673605
168,197,Yemen,YEM,0.14034823,0.13683735,0.13233401,0.1277444,0.12351241,0.13215528
169,198,Zambia,ZMB,0.111551836,0.113018036,0.113849245,0.11429527,0.11466904,0.113476685
170,199,Zimbabwe,ZWE,0.09565246,0.096661605,0.09732964,0.09790856,0.09829536,0.097169525
